Price,Brand,RAM,SSD_Storage,Color,Processor,OS,Rating
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,95,000",Lenovo,32GB,1024.0,Grey,Intel,Windows,4.3
"62,490",Dell,16GB,,Black,Intel,Windows,4.0
"1,29,990",Lenovo,32GB,1024.0,Grey,AMD,,4.0
"78,990",HP,4GB,1024.0,Silver,Intel,Windows,4.0
"55,990",Samsung,16GB,512.0,,Intel,,5.0
"42,999",Acer,8GB,512.0,,AMD,Windows,
"1,24,990",ASUS,32GB,1024.0,Blue,Intel,Windows,5.0
"58,990",HP,16GB,512.0,Silver,AMD,Windows,3.9
"79,990",Acer,16GB,512.0,Grey,,Windows,
"67,990",ASUS,16GB,512.0,Silver,Intel,Windows,4.4
"1,645",TABLE,,,,,,4.2
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"54,999",Lenovo,16GB,512.0,Grey,AMD,Windows,3.2
"4,19,990",ASUS,16GB,,Black,AMD,Windows,
"79,999",ASUS,6GB,512.0,Black,Intel,Windows,4.5
,More,,,,,,
"54,999",DELL,,512.0,Black,Intel,Windows,3.7
"1,19,990",ASUS,32GB,,Silver,Intel,Windows,4.3
"65,500",HP,16GB,512.0,Silver,Intel,Windows,2.9
,HP,,512.0,Silver,Intel,Windows,
"58,990",ASUS,16GB,512.0,,Intel,Windows,
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"1,24,990",ASUS,32GB,1024.0,Blue,Intel,Windows,5.0
"67,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.1
"77,770",Lenovo,16GB,512.0,Grey,,Windows,4.0
"79,990",HP,16GB,512.0,Silver,Intel,Windows,5.0
"1,24,990",ASUS,32GB,1024.0,Silver,Intel,Windows,
"38,999",HP,,128.0,,,,3.7
"42,999",Acer,8GB,512.0,,AMD,Windows,
"59,999",Lenovo,16GB,512.0,Grey,AMD,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"1,799",COSMUS,,,,,,4.3
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"59,999",Lenovo,16GB,512.0,Grey,AMD,Windows,4.2
"71,990",Acer,6GB,512.0,Gray,Intel,Windows,3.8
"66,999",HP,,512.0,Silver,Intel,Windows,3.6
"38,999",HP,8GB,256.0,Silver,AMD,Windows,2.1
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"1,41,990",Lenovo,8GB,1024.0,Grey,AMD,Windows,4.9
"52,890",HP,,,,AMD,,3.7
"1,24,990",ASUS,32GB,1024.0,Silver,Intel,Windows,
"79,990",HP,16GB,512.0,Silver,Intel,Windows,5.0
"62,250",HP,,512.0,Grey,Intel,Windows,3.0
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"52,809",Acer,16GB,512.0,Black,AMD,Windows,3.0
"54,990",ASUS,16GB,512.0,Silver,Intel,Windows,
"71,990",ASUS,16GB,1024.0,Blue,Intel,Windows,4.0
"43,015",Dell,8GB,512.0,Blue,Intel,,4.3
"1,34,990",HP,8GB,1024.0,Black,AMD,Windows,4.5
"48,999",Lenovo,8GB,512.0,Silver,,Windows,2.9
"1,19,990",ASUS,32GB,,Silver,Intel,Windows,4.3
"58,890",HP,,512.0,Silver,AMD,,3.2
"49,990",acer,,,Gray,Intel,Windows,4.3
"89,000",Lenovo,16GB,512.0,Black,AMD,Windows,4.0
"87,500",Lenovo,8GB,512.0,Black,AMD,Windows,4.3
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"1,19,990",ASUS,32GB,,Silver,Intel,Windows,4.3
"1,73,025",MSI,16GB,,Black,Intel,Windows,4.4
"49,990",acer,,,Gray,Intel,Windows,4.3
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"52,690",HP,12GB,512.0,Silver,Intel,Windows,4.2
,More,,,,,,
"45,999",HP,DDR5,512.0,Silver,AMD,Windows,
"52,950",HP,,512.0,Silver,Intel,Windows,5.0
"63,990",HP,8GB,512.0,,Intel,Windows,5.0
"84,290",Lenovo,16GB,1024.0,Grey,Intel,Windows,4.2
"43,015",Dell,8GB,512.0,Blue,Intel,,4.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"48,990",HP,8GB,512.0,Silver,AMD,Windows,4.1
"65,885",Lenovo,16GB,512.0,Grey,Intel,Windows,4.0
"51,999",HP,16GB,512.0,Silver,AMD,Windows,4.0
"50,450",HP,16GB,,Silver,Intel,Windows,3.0
"93,990",HP,16GB,512.0,Silver,AMD,Windows,4.2
"72,990",HP,16GB,512.0,Silver,Intel,Windows,4.2
"2,75,990",ASUS,12GB,,Gray,Intel,Windows,3.8
"57,090",HP,,512.0,Silver,AMD,,3.9
"79,990",Acer,16GB,512.0,Grey,,Windows,
"87,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,3.6
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"1,73,025",MSI,16GB,,Black,Intel,Windows,4.4
"55,490",HP,16GB,512.0,Silver,AMD,Windows,4.2
"52,890",Lenovo,,512.0,Grey,Intel,Windows,3.8
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"59,750",Lenovo,16GB,512.0,Black,Intel,Windows,3.7
